route_id,number_of_buses,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,number_of_cancellations,cancellation_rate
261-318,702,26,26,26,26,0,26,26,26,26,26,26,0,26,26,26,26,26,26,0,26,26,26,26,26,26,0,26,26,26,26,26,0,0.0
262-318,1242,46,46,46,46,0,46,46,46,46,46,46,0,46,46,46,46,46,46,0,46,46,46,46,46,46,0,46,46,46,46,46,3,0.0024154589371980675
263-318,648,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,0,0.0
264-318,864,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,0,0.0
265-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,1,0.0030864197530864196
266-318,972,36,36,36,36,0,36,36,36,36,36,36,0,36,36,36,36,36,36,0,36,36,36,36,36,36,0,36,36,36,36,36,4,0.00411522633744856
267-318,1080,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,2,0.001851851851851852
268-318,810,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,0,0.0
27-318,648,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,0,0.0
270-318,1026,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,3,0.0029239766081871343
271-318,1026,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,1,0.0009746588693957114
272-318,1026,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,2,0.001949317738791423
273-318,1026,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,1,0.0009746588693957114
